Country Name,Country Code,Indicator Name,Indicator Code,Year,Forest Area (% of land)
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,1990,2.33333333333333
Africa Eastern and Southern,AFE,Forest area (% of land area),AG.LND.FRST.ZS,1990,42.9752498758181
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,1990,1.85278199408184
Africa Western and Central,AFW,Forest area (% of land area),AG.LND.FRST.ZS,1990,22.7769081273257
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,1990,63.5780701050774
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,1990,28.7883211678832
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,1990,34.0425531914894
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,1990,1.78607679772462
United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,1990,3.44973246972684
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,1990,12.8637149256949
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,1990,90.35
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,1990,22.9772727272727
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,1990,17.4273589940513
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,1990,45.7546049442559
Burundi,BDI,Forest area (% of land area),AG.LND.FRST.ZS,1990,10.7663551401869
Benin,BEN,Forest area (% of land area),AG.LND.FRST.ZS,1990,42.8800106420717
Burkina Faso,BFA,Forest area (% of land area),AG.LND.FRST.ZS,1990,28.2039473684211
Bangladesh,BGD,Forest area (% of land area),AG.LND.FRST.ZS,1990,14.7524775293847
Bulgaria,BGR,Forest area (% of land area),AG.LND.FRST.ZS,1990,30.0732170297388
Bahrain,BHR,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.318840579710145
"Bahamas, The",BHS,Forest area (% of land area),AG.LND.FRST.ZS,1990,50.9350649350649
Belize,BLZ,Forest area (% of land area),AG.LND.FRST.ZS,1990,70.1459886014906
Bermuda,BMU,Forest area (% of land area),AG.LND.FRST.ZS,1990,18.5185185185185
Bolivia,BOL,Forest area (% of land area),AG.LND.FRST.ZS,1990,53.3598449183052
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,1990,70.4580205643839
Barbados,BRB,Forest area (% of land area),AG.LND.FRST.ZS,1990,14.6511627906977
Brunei Darussalam,BRN,Forest area (% of land area),AG.LND.FRST.ZS,1990,78.3681214421252
Bhutan,BTN,Forest area (% of land area),AG.LND.FRST.ZS,1990,53.6506645549301
Botswana,BWA,Forest area (% of land area),AG.LND.FRST.ZS,1990,33.1792917262188
Central African Republic,CAF,Forest area (% of land area),AG.LND.FRST.ZS,1990,37.2451764101576
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,1990,38.8455115614254
Central Europe and the Baltics,CEB,Forest area (% of land area),AG.LND.FRST.ZS,1990,27.7038335099302
Switzerland,CHE,Forest area (% of land area),AG.LND.FRST.ZS,1990,29.1809082231976
Channel Islands,CHI,Forest area (% of land area),AG.LND.FRST.ZS,1990,4.19191919191919
Chile,CHL,Forest area (% of land area),AG.LND.FRST.ZS,1990,20.5049009323069
China,CHN,Forest area (% of land area),AG.LND.FRST.ZS,1990,16.7380065507416
Cote d'Ivoire,CIV,Forest area (% of land area),AG.LND.FRST.ZS,1990,24.6882389937107
Cameroon,CMR,Forest area (% of land area),AG.LND.FRST.ZS,1990,47.5978929999365
"Congo, Dem. Rep.",COD,Forest area (% of land area),AG.LND.FRST.ZS,1990,66.4427339494056
"Congo, Rep.",COG,Forest area (% of land area),AG.LND.FRST.ZS,1990,65.3440702781845
Colombia,COL,Forest area (% of land area),AG.LND.FRST.ZS,1990,58.5472194682289
Comoros,COM,Forest area (% of land area),AG.LND.FRST.ZS,1990,24.7501343363783
Cabo Verde,CPV,Forest area (% of land area),AG.LND.FRST.ZS,1990,3.81637717121588
Costa Rica,CRI,Forest area (% of land area),AG.LND.FRST.ZS,1990,56.9408538973756
Caribbean small states,CSS,Forest area (% of land area),AG.LND.FRST.ZS,1990,91.5268078916791
Cuba,CUB,Forest area (% of land area),AG.LND.FRST.ZS,1990,19.1620111731844
Cayman Islands,CYM,Forest area (% of land area),AG.LND.FRST.ZS,1990,54.7083333333333
Cyprus,CYP,Forest area (% of land area),AG.LND.FRST.ZS,1990,17.4361471861472
Germany,DEU,Forest area (% of land area),AG.LND.FRST.ZS,1990,32.3661673302208
Djibouti,DJI,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.241587575496117
Dominica,DMA,Forest area (% of land area),AG.LND.FRST.ZS,1990,67.08
Denmark,DNK,Forest area (% of land area),AG.LND.FRST.ZS,1990,13.286
Dominican Republic,DOM,Forest area (% of land area),AG.LND.FRST.ZS,1990,33.0136617677499
Algeria,DZA,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.699908470278032
East Asia & Pacific (excluding high income),EAP,Forest area (% of land area),AG.LND.FRST.ZS,1990,29.1182836938866
Early-demographic dividend,EAR,Forest area (% of land area),AG.LND.FRST.ZS,1990,26.3447505660516
East Asia & Pacific,EAS,Forest area (% of land area),AG.LND.FRST.ZS,1990,26.268204752678
Ecuador,ECU,Forest area (% of land area),AG.LND.FRST.ZS,1990,52.8543924288398
"Egypt, Arab Rep.",EGY,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.0440102466221307
Euro area,EMU,Forest area (% of land area),AG.LND.FRST.ZS,1990,33.4226254644256
Spain,ESP,Forest area (% of land area),AG.LND.FRST.ZS,1990,27.8405013615249
European Union,EUU,Forest area (% of land area),AG.LND.FRST.ZS,1990,36.0477774855482
Fragile and conflict affected situations,FCS,Forest area (% of land area),AG.LND.FRST.ZS,1990,29.9340742095121
Finland,FIN,Forest area (% of land area),AG.LND.FRST.ZS,1990,71.818936931613
Fiji,FJI,Forest area (% of land area),AG.LND.FRST.ZS,1990,51.4334975369458
France,FRA,Forest area (% of land area),AG.LND.FRST.ZS,1990,26.3639451682537
Faroe Islands,FRO,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.0573065902578797
Gabon,GAB,Forest area (% of land area),AG.LND.FRST.ZS,1990,92.2172546280126
United Kingdom,GBR,Forest area (% of land area),AG.LND.FRST.ZS,1990,11.4826602736329
Ghana,GHA,Forest area (% of land area),AG.LND.FRST.ZS,1990,43.6154522281797
Gibraltar,GIB,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.0
Guinea,GIN,Forest area (% of land area),AG.LND.FRST.ZS,1990,29.6109392804819
"Gambia, The",GMB,Forest area (% of land area),AG.LND.FRST.ZS,1990,40.9743083003953
Guinea-Bissau,GNB,Forest area (% of land area),AG.LND.FRST.ZS,1990,79.4214082503556
Equatorial Guinea,GNQ,Forest area (% of land area),AG.LND.FRST.ZS,1990,96.2263814616756
Greece,GRC,Forest area (% of land area),AG.LND.FRST.ZS,1990,25.59
Grenada,GRD,Forest area (% of land area),AG.LND.FRST.ZS,1990,52.0588235294118
Greenland,GRL,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.0006438396254024
Guatemala,GTM,Forest area (% of land area),AG.LND.FRST.ZS,1990,44.6173945502053
Guam,GUM,Forest area (% of land area),AG.LND.FRST.ZS,1990,44.4444444444444
Guyana,GUY,Forest area (% of land area),AG.LND.FRST.ZS,1990,94.499110998222
High income,HIC,Forest area (% of land area),AG.LND.FRST.ZS,1990,28.9862684327818
Honduras,HND,Forest area (% of land area),AG.LND.FRST.ZS,1990,62.452229868621
Heavily indebted poor countries (HIPC),HPC,Forest area (% of land area),AG.LND.FRST.ZS,1990,35.2034625300231
Haiti,HTI,Forest area (% of land area),AG.LND.FRST.ZS,1990,13.8940493468795
Hungary,HUN,Forest area (% of land area),AG.LND.FRST.ZS,1990,20.1835985312118
IDA total,IDA,Forest area (% of land area),AG.LND.FRST.ZS,1990,34.1678004633941
IDA blend,IDB,Forest area (% of land area),AG.LND.FRST.ZS,1990,36.4678726805473
Indonesia,IDN,Forest area (% of land area),AG.LND.FRST.ZS,1990,65.4377142478624
IDA only,IDX,Forest area (% of land area),AG.LND.FRST.ZS,1990,33.5386566291765
Isle of Man,IMN,Forest area (% of land area),AG.LND.FRST.ZS,1990,6.07017543859649
India,IND,Forest area (% of land area),AG.LND.FRST.ZS,1990,21.5048483278902
Ireland,IRL,Forest area (% of land area),AG.LND.FRST.ZS,1990,6.70111772390768
"Iran, Islamic Rep.",IRN,Forest area (% of land area),AG.LND.FRST.ZS,1990,5.57237407598418
Iraq,IRQ,Forest area (% of land area),AG.LND.FRST.ZS,1990,1.8382605116949
Iceland,ISL,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.170274314214464
Israel,ISR,Forest area (% of land area),AG.LND.FRST.ZS,1990,6.09981515711645
Italy,ITA,Forest area (% of land area),AG.LND.FRST.ZS,1990,25.8058209513447
Jamaica,JAM,Forest area (% of land area),AG.LND.FRST.ZS,1990,48.1329639889197
Jordan,JOR,Forest area (% of land area),AG.LND.FRST.ZS,1990,1.10494106980961
Japan,JPN,Forest area (% of land area),AG.LND.FRST.ZS,1990,68.4311574328031
Kenya,KEN,Forest area (% of land area),AG.LND.FRST.ZS,1990,6.77959728713498
Cambodia,KHM,Forest area (% of land area),AG.LND.FRST.ZS,1990,62.3430206208928
Kiribati,KIR,Forest area (% of land area),AG.LND.FRST.ZS,1990,1.45679012345679
St. Kitts and Nevis,KNA,Forest area (% of land area),AG.LND.FRST.ZS,1990,42.3076923076923
"Korea, Rep.",KOR,Forest area (% of land area),AG.LND.FRST.ZS,1990,67.9141613103877
Kuwait,KWT,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.193602693602694
Latin America & Caribbean (excluding high income),LAC,Forest area (% of land area),AG.LND.FRST.ZS,1990,54.3711862618581
Lao PDR,LAO,Forest area (% of land area),AG.LND.FRST.ZS,1990,77.3093587521664
Lebanon,LBN,Forest area (% of land area),AG.LND.FRST.ZS,1990,13.6559139784946
Liberia,LBR,Forest area (% of land area),AG.LND.FRST.ZS,1990,88.5095514950166
Libya,LBY,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.123327687918433
St. Lucia,LCA,Forest area (% of land area),AG.LND.FRST.ZS,1990,34.8688524590164
Latin America & Caribbean,LCN,Forest area (% of land area),AG.LND.FRST.ZS,1990,53.2976443963737
Least developed countries: UN classification,LDC,Forest area (% of land area),AG.LND.FRST.ZS,1990,34.894023080562
Low income,LIC,Forest area (% of land area),AG.LND.FRST.ZS,1990,27.3987252317884
Liechtenstein,LIE,Forest area (% of land area),AG.LND.FRST.ZS,1990,40.625
Sri Lanka,LKA,Forest area (% of land area),AG.LND.FRST.ZS,1990,37.4793493860628
Lower middle income,LMC,Forest area (% of land area),AG.LND.FRST.ZS,1990,34.1071563367972
Lesotho,LSO,Forest area (% of land area),AG.LND.FRST.ZS,1990,1.13702239789196
Morocco,MAR,Forest area (% of land area),AG.LND.FRST.ZS,1990,12.2905892897154
Monaco,MCO,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.0
Madagascar,MDG,Forest area (% of land area),AG.LND.FRST.ZS,1990,23.5468755373663
Maldives,MDV,Forest area (% of land area),AG.LND.FRST.ZS,1990,2.73333333333333
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Forest area (% of land area),AG.LND.FRST.ZS,1990,2.10812160160135
Mexico,MEX,Forest area (% of land area),AG.LND.FRST.ZS,1990,36.3135111499781
Mali,MLI,Forest area (% of land area),AG.LND.FRST.ZS,1990,10.896663634352
Malta,MLT,Forest area (% of land area),AG.LND.FRST.ZS,1990,1.09375
Myanmar,MMR,Forest area (% of land area),AG.LND.FRST.ZS,1990,60.0093031796065
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Forest area (% of land area),AG.LND.FRST.ZS,1990,2.51367847581963
Mongolia,MNG,Forest area (% of land area),AG.LND.FRST.ZS,1990,9.27468054822683
Mozambique,MOZ,Forest area (% of land area),AG.LND.FRST.ZS,1990,55.1616266944734
Mauritania,MRT,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.461860871252547
Mauritius,MUS,Forest area (% of land area),AG.LND.FRST.ZS,1990,20.2315270935961
Malawi,MWI,Forest area (% of land area),AG.LND.FRST.ZS,1990,37.1414934238439
Malaysia,MYS,Forest area (% of land area),AG.LND.FRST.ZS,1990,62.7560493075635
North America,NAC,Forest area (% of land area),AG.LND.FRST.ZS,1990,35.9027943451896
Namibia,NAM,Forest area (% of land area),AG.LND.FRST.ZS,1990,10.6513743638329
New Caledonia,NCL,Forest area (% of land area),AG.LND.FRST.ZS,1990,45.4666301969365
Niger,NER,Forest area (% of land area),AG.LND.FRST.ZS,1990,1.53548590826557
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,1990,29.1249052999111
Nicaragua,NIC,Forest area (% of land area),AG.LND.FRST.ZS,1990,53.176998504238
Netherlands,NLD,Forest area (% of land area),AG.LND.FRST.ZS,1990,10.2289691943128
Norway,NOR,Forest area (% of land area),AG.LND.FRST.ZS,1990,33.2161513946841
Nepal,NPL,Forest area (% of land area),AG.LND.FRST.ZS,1990,39.6643356643357
Nauru,NRU,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.0
New Zealand,NZL,Forest area (% of land area),AG.LND.FRST.ZS,1990,35.5940526375755
OECD members,OED,Forest area (% of land area),AG.LND.FRST.ZS,1990,32.2755707238166
Oman,OMN,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.0096930533117932
Other small states,OSS,Forest area (% of land area),AG.LND.FRST.ZS,1990,20.8364130290976
Pakistan,PAK,Forest area (% of land area),AG.LND.FRST.ZS,1990,6.46895755500208
Panama,PAN,Forest area (% of land area),AG.LND.FRST.ZS,1990,61.9774011299435
Peru,PER,Forest area (% of land area),AG.LND.FRST.ZS,1990,59.725421875
Philippines,PHL,Forest area (% of land area),AG.LND.FRST.ZS,1990,26.0885065566623
Papua New Guinea,PNG,Forest area (% of land area),AG.LND.FRST.ZS,1990,80.3773351587687
Poland,POL,Forest area (% of land area),AG.LND.FRST.ZS,1990,28.9986613993274
Pre-demographic dividend,PRE,Forest area (% of land area),AG.LND.FRST.ZS,1990,33.1608705515286
Puerto Rico (US),PRI,Forest area (% of land area),AG.LND.FRST.ZS,1990,36.1138669673055
"Korea, Dem. People's Rep.",PRK,Forest area (% of land area),AG.LND.FRST.ZS,1990,57.4041192591977
Portugal,PRT,Forest area (% of land area),AG.LND.FRST.ZS,1990,37.1475409836066
Paraguay,PRY,Forest area (% of land area),AG.LND.FRST.ZS,1990,64.2986659954694
West Bank and Gaza,PSE,Forest area (% of land area),AG.LND.FRST.ZS,1990,1.50830564784053
Pacific island small states,PSS,Forest area (% of land area),AG.LND.FRST.ZS,1990,65.4495704740693
Post-demographic dividend,PST,Forest area (% of land area),AG.LND.FRST.ZS,1990,31.6286946072315
French Polynesia,PYF,Forest area (% of land area),AG.LND.FRST.ZS,1990,39.4617486338798
Qatar,QAT,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.0
Romania,ROU,Forest area (% of land area),AG.LND.FRST.ZS,1990,27.7785044691519
Rwanda,RWA,Forest area (% of land area),AG.LND.FRST.ZS,1990,12.8496149169031
South Asia,SAS,Forest area (% of land area),AG.LND.FRST.ZS,1990,22.7610498278802
Saudi Arabia,SAU,Forest area (% of land area),AG.LND.FRST.ZS,1990,0.454484134921779
Senegal,SEN,Forest area (% of land area),AG.LND.FRST.ZS,1990,48.3205734171298
Singapore,SGP,Forest area (% of land area),AG.LND.FRST.ZS,1990,22.1297014925373
Solomon Islands,SLB,Forest area (% of land area),AG.LND.FRST.ZS,1990,90.9221150410861
Sierra Leone,SLE,Forest area (% of land area),AG.LND.FRST.ZS,1990,43.318093654752
El Salvador,SLV,Forest area (% of land area),AG.LND.FRST.ZS,1990,34.6949806949807
San Marino,SMR,Forest area (% of land area),AG.LND.FRST.ZS,1990,16.6666666666667
Somalia,SOM,Forest area (% of land area),AG.LND.FRST.ZS,1990,13.2025695794944
Sub-Saharan Africa (excluding high income),SSA,Forest area (% of land area),AG.LND.FRST.ZS,1990,33.9025431616424
Sub-Saharan Africa,SSF,Forest area (% of land area),AG.LND.FRST.ZS,1990,33.9034420930557
Small states,SST,Forest area (% of land area),AG.LND.FRST.ZS,1990,65.8510680672253
Sao Tome and Principe,STP,Forest area (% of land area),AG.LND.FRST.ZS,1990,61.0625
Suriname,SUR,Forest area (% of land area),AG.LND.FRST.ZS,1990,95.8062362276779
Sweden,SWE,Forest area (% of land area),AG.LND.FRST.ZS,1990,68.8933585407953
Eswatini,SWZ,Forest area (% of land area),AG.LND.FRST.ZS,1990,26.8104651162791
Seychelles,SYC,Forest area (% of land area),AG.LND.FRST.ZS,1990,73.2608695652174
Syrian Arab Republic,SYR,Forest area (% of land area),AG.LND.FRST.ZS,1990,2.02459462400696
Turks and Caicos Islands,TCA,Forest area (% of land area),AG.LND.FRST.ZS,1990,11.0736842105263
Chad,TCD,Forest area (% of land area),AG.LND.FRST.ZS,1990,5.34466327827192
East Asia & Pacific (IDA & IBRD countries),TEA,Forest area (% of land area),AG.LND.FRST.ZS,1990,28.9027083833819
Togo,TGO,Forest area (% of land area),AG.LND.FRST.ZS,1990,25.0351167494025
Thailand,THA,Forest area (% of land area),AG.LND.FRST.ZS,1990,37.8966117951027
Latin America & the Caribbean (IDA & IBRD countries),TLA,Forest area (% of land area),AG.LND.FRST.ZS,1990,53.4926398069955
Timor-Leste,TLS,Forest area (% of land area),AG.LND.FRST.ZS,1990,64.7679892400807
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Forest area (% of land area),AG.LND.FRST.ZS,1990,2.51428003892246
Tonga,TON,Forest area (% of land area),AG.LND.FRST.ZS,1990,12.4305555555556
South Asia (IDA & IBRD),TSA,Forest area (% of land area),AG.LND.FRST.ZS,1990,22.7610498278802
Sub-Saharan Africa (IDA & IBRD countries),TSS,Forest area (% of land area),AG.LND.FRST.ZS,1990,33.9034420930557
Trinidad and Tobago,TTO,Forest area (% of land area),AG.LND.FRST.ZS,1990,47.1851851851852
Tunisia,TUN,Forest area (% of land area),AG.LND.FRST.ZS,1990,4.14506243563337
Turkiye,TUR,Forest area (% of land area),AG.LND.FRST.ZS,1990,25.7051830100178
Tuvalu,TUV,Forest area (% of land area),AG.LND.FRST.ZS,1990,33.3333333333333
Tanzania,TZA,Forest area (% of land area),AG.LND.FRST.ZS,1990,64.7889026868368
Uganda,UGA,Forest area (% of land area),AG.LND.FRST.ZS,1990,17.8943496321505
Uruguay,URY,Forest area (% of land area),AG.LND.FRST.ZS,1990,4.55947891669523
United States,USA,Forest area (% of land area),AG.LND.FRST.ZS,1990,33.0223082096657
St. Vincent and the Grenadines,VCT,Forest area (% of land area),AG.LND.FRST.ZS,1990,70.6153846153846
"Venezuela, RB",VEN,Forest area (% of land area),AG.LND.FRST.ZS,1990,58.9830508474576
British Virgin Islands,VGB,Forest area (% of land area),AG.LND.FRST.ZS,1990,24.7333333333333
Virgin Islands (U.S.),VIR,Forest area (% of land area),AG.LND.FRST.ZS,1990,70.1142857142857
Viet Nam,VNM,Forest area (% of land area),AG.LND.FRST.ZS,1990,28.8056775937817
Vanuatu,VUT,Forest area (% of land area),AG.LND.FRST.ZS,1990,36.2838392124692
Samoa,WSM,Forest area (% of land area),AG.LND.FRST.ZS,1990,62.2367491166078
"Yemen, Rep.",YEM,Forest area (% of land area),AG.LND.FRST.ZS,1990,1.03983180862549
South Africa,ZAF,Forest area (% of land area),AG.LND.FRST.ZS,1990,14.9552712494539
Zambia,ZMB,Forest area (% of land area),AG.LND.FRST.ZS,1990,63.7780976338127
Zimbabwe,ZWE,Forest area (% of land area),AG.LND.FRST.ZS,1990,48.6666149670415
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,1991,2.33333333333333
Africa Eastern and Southern,AFE,Forest area (% of land area),AG.LND.FRST.ZS,1991,42.7991798360483
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,1991,1.85278199408184
Africa Western and Central,AFW,Forest area (% of land area),AG.LND.FRST.ZS,1991,22.6587456692513
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,1991,63.4534073955242
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,1991,28.7171532846715
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,1991,34.0425531914894
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,1991,1.77971034615467
United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,1991,3.54045339341031
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,1991,12.79699198667
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,1991,90.18
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,1991,22.8272727272727
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,1991,17.4004386707106
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,1991,45.8303078041687
Burundi,BDI,Forest area (% of land area),AG.LND.FRST.ZS,1991,10.4449376947041
Benin,BEN,Forest area (% of land area),AG.LND.FRST.ZS,1991,42.2592231287691
Burkina Faso,BFA,Forest area (% of land area),AG.LND.FRST.ZS,1991,28.0211622807018
Bangladesh,BGD,Forest area (% of land area),AG.LND.FRST.ZS,1991,14.7524759929323
Bulgaria,BGR,Forest area (% of land area),AG.LND.FRST.ZS,1991,30.1166048992136
Bahrain,BHR,Forest area (% of land area),AG.LND.FRST.ZS,1991,0.340579710144928
"Bahamas, The",BHS,Forest area (% of land area),AG.LND.FRST.ZS,1991,50.9350649350649
Belize,BLZ,Forest area (% of land area),AG.LND.FRST.ZS,1991,69.5290223586146
Bermuda,BMU,Forest area (% of land area),AG.LND.FRST.ZS,1991,18.5185185185185
Bolivia,BOL,Forest area (% of land area),AG.LND.FRST.ZS,1991,53.1102990861257
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,1991,70.0056543680771
Barbados,BRB,Forest area (% of land area),AG.LND.FRST.ZS,1991,14.6511627906977
Brunei Darussalam,BRN,Forest area (% of land area),AG.LND.FRST.ZS,1991,78.0645161290323
Bhutan,BTN,Forest area (% of land area),AG.LND.FRST.ZS,1991,53.8631509106864
Botswana,BWA,Forest area (% of land area),AG.LND.FRST.ZS,1991,32.970550350255
Central African Republic,CAF,Forest area (% of land area),AG.LND.FRST.ZS,1991,37.1970207711323
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,1991,38.8402585886707
Central Europe and the Baltics,CEB,Forest area (% of land area),AG.LND.FRST.ZS,1991,27.7441453310696
Switzerland,CHE,Forest area (% of land area),AG.LND.FRST.ZS,1991,29.2888195733044
Channel Islands,CHI,Forest area (% of land area),AG.LND.FRST.ZS,1991,4.19191919191919
Chile,CHL,Forest area (% of land area),AG.LND.FRST.ZS,1991,20.5816978959883
China,CHN,Forest area (% of land area),AG.LND.FRST.ZS,1991,16.9495471466993
Cote d'Ivoire,CIV,Forest area (% of land area),AG.LND.FRST.ZS,1991,23.8214433962264
Cameroon,CMR,Forest area (% of land area),AG.LND.FRST.ZS,1991,47.4069704469971
"Congo, Dem. Rep.",COD,Forest area (% of land area),AG.LND.FRST.ZS,1991,66.1458723892283
"Congo, Rep.",COG,Forest area (% of land area),AG.LND.FRST.ZS,1991,65.3089311859444
Colombia,COL,Forest area (% of land area),AG.LND.FRST.ZS,1991,58.3468913925192
Comoros,COM,Forest area (% of land area),AG.LND.FRST.ZS,1991,24.514777001612
Cabo Verde,CPV,Forest area (% of land area),AG.LND.FRST.ZS,1991,4.42034739454094
Costa Rica,CRI,Forest area (% of land area),AG.LND.FRST.ZS,1991,56.8425773599687
Caribbean small states,CSS,Forest area (% of land area),AG.LND.FRST.ZS,1991,91.4708042436508
Cuba,CUB,Forest area (% of land area),AG.LND.FRST.ZS,1991,19.5130353817505
Cayman Islands,CYM,Forest area (% of land area),AG.LND.FRST.ZS,1991,54.625
Cyprus,CYP,Forest area (% of land area),AG.LND.FRST.ZS,1991,17.5497835497835
Germany,DEU,Forest area (% of land area),AG.LND.FRST.ZS,1991,32.381634348237
Djibouti,DJI,Forest area (% of land area),AG.LND.FRST.ZS,1991,0.241587575496117
Dominica,DMA,Forest area (% of land area),AG.LND.FRST.ZS,1991,66.7546666666667
Denmark,DNK,Forest area (% of land area),AG.LND.FRST.ZS,1991,13.3864
Dominican Republic,DOM,Forest area (% of land area),AG.LND.FRST.ZS,1991,33.7952390809356
Algeria,DZA,Forest area (% of land area),AG.LND.FRST.ZS,1991,0.696213692510518
East Asia & Pacific (excluding high income),EAP,Forest area (% of land area),AG.LND.FRST.ZS,1991,29.1063423794755
Early-demographic dividend,EAR,Forest area (% of land area),AG.LND.FRST.ZS,1991,26.2217733731702
East Asia & Pacific,EAS,Forest area (% of land area),AG.LND.FRST.ZS,1991,26.2553026021333
Ecuador,ECU,Forest area (% of land area),AG.LND.FRST.ZS,1991,52.5286772142754
"Egypt, Arab Rep.",EGY,Forest area (% of land area),AG.LND.FRST.ZS,1991,0.0455572856497062
Euro area,EMU,Forest area (% of land area),AG.LND.FRST.ZS,1991,33.6668039715083
Spain,ESP,Forest area (% of land area),AG.LND.FRST.ZS,1991,28.4790705590261
European Union,EUU,Forest area (% of land area),AG.LND.FRST.ZS,1991,36.2234362751077
Fragile and conflict affected situations,FCS,Forest area (% of land area),AG.LND.FRST.ZS,1991,29.8001534319994
Finland,FIN,Forest area (% of land area),AG.LND.FRST.ZS,1991,72.0061755146262
Fiji,FJI,Forest area (% of land area),AG.LND.FRST.ZS,1991,51.7990147783251
France,FRA,Forest area (% of land area),AG.LND.FRST.ZS,1991,26.5195428496291
Faroe Islands,FRO,Forest area (% of land area),AG.LND.FRST.ZS,1991,0.0573065902578797
"Micronesia, Fed. Sts.",FSM,Forest area (% of land area),AG.LND.FRST.ZS,1991,90.8685714285714
Gabon,GAB,Forest area (% of land area),AG.LND.FRST.ZS,1991,92.1933403190127
United Kingdom,GBR,Forest area (% of land area),AG.LND.FRST.ZS,1991,11.5554085892614
Ghana,GHA,Forest area (% of land area),AG.LND.FRST.ZS,1991,43.1427221587413
Gibraltar,GIB,Forest area (% of land area),AG.LND.FRST.ZS,1991,0.0
Guinea,GIN,Forest area (% of land area),AG.LND.FRST.ZS,1991,29.4697216343806
"Gambia, The",GMB,Forest area (% of land area),AG.LND.FRST.ZS,1991,40.4078063241107
Guinea-Bissau,GNB,Forest area (% of land area),AG.LND.FRST.ZS,1991,79.1210881934566
Equatorial Guinea,GNQ,Forest area (% of land area),AG.LND.FRST.ZS,1991,95.928449197861
Greece,GRC,Forest area (% of land area),AG.LND.FRST.ZS,1991,25.8240411171451
Grenada,GRD,Forest area (% of land area),AG.LND.FRST.ZS,1991,52.0588235294118
Greenland,GRL,Forest area (% of land area),AG.LND.FRST.ZS,1991,0.0006438396254024
Guatemala,GTM,Forest area (% of land area),AG.LND.FRST.ZS,1991,44.0836132885405
Guam,GUM,Forest area (% of land area),AG.LND.FRST.ZS,1991,44.4444444444444
Guyana,GUY,Forest area (% of land area),AG.LND.FRST.ZS,1991,94.479842519685
High income,HIC,Forest area (% of land area),AG.LND.FRST.ZS,1991,29.0060151686302
Honduras,HND,Forest area (% of land area),AG.LND.FRST.ZS,1991,62.264983465904
Heavily indebted poor countries (HIPC),HPC,Forest area (% of land area),AG.LND.FRST.ZS,1991,35.0297988270106
Haiti,HTI,Forest area (% of land area),AG.LND.FRST.ZS,1991,13.8858127721335
Hungary,HUN,Forest area (% of land area),AG.LND.FRST.ZS,1991,20.3029598308668
IDA total,IDA,Forest area (% of land area),AG.LND.FRST.ZS,1991,34.0102681890447
